Feature,Category,Precision,Recall,FBeta
education,Bachelors,0.8280839895013123,0.28410625844214316,0.4230640295005028
education,HS-grad,0.5552099533437014,0.21313432835820895,0.30802415875754957
education,11th,0.5333333333333333,0.4,0.4571428571428572
education,Masters,0.8753623188405797,0.3149113660062565,0.4631901840490797
education,9th,0.3,0.1111111111111111,0.16216216216216217
education,Some-college,0.6079207920792079,0.2213410237923576,0.3245243128964059
education,Assoc-acdm,0.723404255319149,0.25660377358490566,0.37883008356545955
education,Assoc-voc,0.6515151515151515,0.23822714681440443,0.3488843813387424
education,7th-8th,0.28,0.175,0.2153846153846154
education,Doctorate,0.9595959595959596,0.3104575163398693,0.46913580246913583
education,Prof-school,0.9615384615384616,0.41371158392434987,0.5785123966942148
education,5th-6th,0.26666666666666666,0.25,0.2580645161290323
education,10th,0.4411764705882353,0.24193548387096775,0.3125
education,1st-4th,0.25,0.16666666666666666,0.2
education,Preschool,0.0,1.0,0.0
education,12th,0.5,0.21212121212121213,0.2978723404255319
